,predictions,file_names
0,angry,03-01-05-01-02-01-22.wav
1,calm,03-01-02-01-01-02-07.wav
2,angry,03-01-05-01-01-01-15.wav
3,surprised,03-01-08-02-02-02-12.wav
4,sad,03-01-08-01-02-01-15.wav
5,angry,03-01-04-01-02-01-04.wav
6,surprised,03-01-08-02-02-01-05.wav
7,happy,03-01-03-02-02-01-19.wav
8,calm,03-01-04-01-01-01-11.wav
9,surprised,03-01-08-01-01-01-06.wav
10,sad,03-01-04-02-02-02-22.wav
11,angry,03-01-05-01-02-02-20.wav
12,sad,03-01-02-02-01-02-16.wav
13,happy,03-01-03-01-02-01-04.wav
14,surprised,03-01-08-01-02-01-10.wav
15,surprised,03-01-03-02-01-01-10.wav
16,happy,03-01-03-01-02-01-16.wav
17,happy,03-01-03-01-01-02-13.wav
18,sad,03-01-02-01-01-02-08.wav
19,angry,03-01-05-01-02-01-03.wav
20,surprised,03-01-08-02-01-02-02.wav
21,sad,03-01-04-01-02-01-06.wav
22,happy,03-01-03-02-02-02-06.wav
23,sad,03-01-04-01-02-01-11.wav
24,surprised,03-01-08-01-01-02-08.wav
25,calm,03-01-02-01-01-02-05.wav
26,surprised,03-01-03-02-01-01-19.wav
27,angry,03-01-05-02-02-01-12.wav
28,angry,03-01-05-01-02-02-13.wav
29,happy,03-01-03-01-02-02-16.wav
30,sad,03-01-04-02-01-02-15.wav
31,surprised,03-01-08-02-02-02-16.wav
32,surprised,03-01-08-01-01-01-19.wav
33,sad,03-01-04-01-01-02-16.wav
34,angry,03-01-05-02-02-02-19.wav
35,surprised,03-01-08-02-01-01-17.wav
36,sad,03-01-04-02-01-01-17.wav
37,happy,03-01-03-01-01-02-12.wav
38,happy,03-01-03-02-01-02-09.wav
39,happy,03-01-03-01-01-02-11.wav
40,surprised,03-01-08-02-02-02-09.wav
41,surprised,03-01-08-01-01-01-23.wav
42,happy,03-01-03-02-01-02-04.wav
43,angry,03-01-05-02-02-02-12.wav
44,sad,03-01-08-01-02-01-01.wav
45,surprised,03-01-05-01-02-01-04.wav
46,surprised,03-01-03-02-01-01-15.wav
47,sad,03-01-04-02-02-01-20.wav
48,surprised,03-01-08-02-02-02-03.wav
49,surprised,03-01-08-02-01-01-05.wav
50,angry,03-01-05-01-01-02-05.wav
51,surprised,03-01-08-01-01-01-10.wav
52,sad,03-01-04-01-02-02-07.wav
53,surprised,03-01-08-02-02-02-01.wav
54,sad,03-01-04-02-01-02-12.wav
55,happy,03-01-03-02-01-01-23.wav
56,angry,03-01-05-02-02-02-09.wav
57,surprised,03-01-08-01-01-02-12.wav
58,angry,03-01-03-01-01-01-21.wav
59,calm,03-01-02-01-01-01-03.wav
60,surprised,03-01-08-02-02-01-02.wav
61,happy,03-01-08-02-01-01-01.wav
62,calm,03-01-02-01-01-02-11.wav
63,calm,03-01-02-02-01-02-11.wav
64,calm,03-01-02-02-01-01-04.wav
65,angry,03-01-08-01-01-01-02.wav
66,calm,03-01-02-02-01-01-22.wav
67,surprised,03-01-08-01-02-02-01.wav
68,happy,03-01-03-02-02-01-15.wav
69,angry,03-01-03-02-02-02-18.wav
70,happy,03-01-03-02-02-01-17.wav
71,surprised,03-01-05-01-02-01-19.wav
72,angry,03-01-05-02-01-02-15.wav
73,angry,03-01-03-02-01-02-17.wav
74,sad,03-01-04-01-01-01-24.wav
75,sad,03-01-08-01-02-01-19.wav
76,calm,03-01-02-01-01-02-04.wav
77,angry,03-01-03-01-01-01-04.wav
78,happy,03-01-03-02-01-02-13.wav
79,angry,03-01-05-02-02-01-24.wav
80,angry,03-01-05-02-02-01-03.wav
81,sad,03-01-08-01-02-02-09.wav
82,angry,03-01-03-02-02-02-11.wav
83,sad,03-01-02-01-01-02-24.wav
84,sad,03-01-04-01-02-02-21.wav
85,happy,03-01-03-01-01-02-02.wav
86,surprised,03-01-08-01-01-02-04.wav
87,calm,03-01-02-01-02-01-20.wav
88,happy,03-01-04-02-01-01-13.wav
89,surprised,03-01-08-02-02-02-23.wav
90,sad,03-01-04-02-02-02-11.wav
91,sad,03-01-04-02-01-01-16.wav
92,surprised,03-01-08-01-02-01-06.wav
93,angry,03-01-02-02-01-01-05.wav
94,calm,03-01-02-02-02-01-01.wav
95,calm,03-01-02-01-02-01-15.wav
96,sad,03-01-02-01-01-01-02.wav
97,calm,03-01-02-02-01-02-05.wav
98,happy,03-01-08-01-02-01-12.wav
99,calm,03-01-02-02-01-02-08.wav
100,surprised,03-01-08-02-01-02-20.wav
101,surprised,03-01-08-01-02-01-03.wav
102,happy,03-01-03-01-02-02-22.wav
103,happy,03-01-05-01-01-01-06.wav
104,sad,03-01-08-02-01-01-08.wav
105,sad,03-01-08-01-01-02-09.wav
106,calm,03-01-02-02-01-01-21.wav
107,sad,03-01-04-02-02-02-21.wav
108,sad,03-01-04-01-01-02-01.wav
109,calm,03-01-04-01-01-02-06.wav
110,sad,03-01-04-02-02-02-10.wav
111,angry,03-01-05-02-01-01-14.wav
112,sad,03-01-08-02-02-02-14.wav
113,surprised,03-01-04-02-01-02-03.wav
114,angry,03-01-05-02-01-01-23.wav
115,angry,03-01-05-02-02-02-10.wav
116,angry,03-01-05-01-01-02-15.wav
117,angry,03-01-05-02-02-01-22.wav
118,surprised,03-01-08-02-02-02-08.wav
